bootstrap_rep,path,path_type,K_Y_h8,K_G_h8,scenario,scenario_sign,dsa_margin_2036,direct_dy_margin_2036,Y_shortfall_2036,direct_pb_2036
0,trade,retained_single_feature,2.647130053038492,0.7633126131153967,three_1pp_cut_2028_2030,cut,13.70756161274194,3.903547785732777,6.478765533519072,1.8518984686806017
0,trade,retained_single_feature,2.647130053038492,0.7633126131153967,three_1pp_expansion_2028_2030,expansion,-13.141582265044605,-3.903547785732777,-6.478765533519072,-1.8518984686806017
0,liq,retained_single_feature,3.451726312236192,0.8710881223392141,three_1pp_cut_2028_2030,cut,18.488864520217703,4.702531853925155,8.45267331653312,2.267725891378137
0,liq,retained_single_feature,3.451726312236192,0.8710881223392141,three_1pp_expansion_2028_2030,expansion,-17.306971962137553,-4.702531853925155,-8.45267331653312,-2.267725891378137
0,debt,retained_single_feature,2.812173019781528,0.8567871246728052,three_1pp_cut_2028_2030,cut,12.989511960288738,2.39177936958762,6.719469490455946,2.297990814857564
0,debt,retained_single_feature,2.812173019781528,0.8567871246728052,three_1pp_expansion_2028_2030,expansion,-12.410072449028675,-2.39177936958762,-6.719469490455946,-2.297990814857564
1,trade,retained_single_feature,2.152824221848024,0.8939057086941569,three_1pp_cut_2028_2030,cut,2.6725942963838065,-0.6179538289186263,4.976184539455365,2.402142926253915
1,trade,retained_single_feature,2.152824221848024,0.8939057086941569,three_1pp_expansion_2028_2030,expansion,-2.3994356013570126,0.6179538289186263,-4.976184539455365,-2.402142926253915
1,liq,retained_single_feature,2.349559931099127,0.862542032827117,three_1pp_cut_2028_2030,cut,4.639017882049984,-0.5304908133466324,5.205946876988386,2.3034495037601523
1,liq,retained_single_feature,2.349559931099127,0.862542032827117,three_1pp_expansion_2028_2030,expansion,-4.38650028042106,0.5304908133466324,-5.205946876988386,-2.3034495037601523
1,debt,retained_single_feature,1.7600070573376876,0.8670356982800337,three_1pp_cut_2028_2030,cut,-1.9541390043739852,2.3359451307779984,3.4391565333689296,2.330941797838301
1,debt,retained_single_feature,1.7600070573376876,0.8670356982800337,three_1pp_expansion_2028_2030,expansion,2.0528697412493244,-2.3359451307779984,-3.4391565333689296,-2.330941797838301
2,trade,retained_single_feature,2.218001040078371,0.8140130743987873,three_1pp_cut_2028_2030,cut,7.090630477723764,4.623828635045237,5.6122682425142685,2.0990088361868198
2,trade,retained_single_feature,2.218001040078371,0.8140130743987873,three_1pp_expansion_2028_2030,expansion,-6.668034683025141,-4.623828635045237,-5.6122682425142685,-2.0990088361868198
2,liq,retained_single_feature,2.1063359870879523,0.7941863027027638,three_1pp_cut_2028_2030,cut,6.912448096984207,4.8195303824049045,5.478516939231385,2.1109631984672137
2,liq,retained_single_feature,2.1063359870879523,0.7941863027027638,three_1pp_expansion_2028_2030,expansion,-6.536906322207045,-4.8195303824049045,-5.478516939231385,-2.1109631984672137
2,debt,retained_single_feature,1.6088016289401765,0.8055787233463542,three_1pp_cut_2028_2030,cut,2.950269626418674,3.752996875284985,4.361645372721995,2.0889455445428124
2,debt,retained_single_feature,1.6088016289401765,0.8055787233463542,three_1pp_expansion_2028_2030,expansion,-2.7192614892556435,-3.752996875284985,-4.361645372721995,-2.0889455445428124
3,trade,retained_single_feature,1.8009692329318603,0.7597778775034513,three_1pp_cut_2028_2030,cut,3.301236056706145,2.7311383885758205,4.620208945927578,2.1497790762334805
3,trade,retained_single_feature,1.8009692329318603,0.7597778775034513,three_1pp_expansion_2028_2030,expansion,-3.086970092343037,-2.7311383885758205,-4.620208945927578,-2.1497790762334805
3,liq,retained_single_feature,1.8068041738913245,0.8050513534222047,three_1pp_cut_2028_2030,cut,2.247285574401161,2.5160030132535307,4.851886402314289,2.2814204544581766
3,liq,retained_single_feature,1.8068041738913245,0.8050513534222047,three_1pp_expansion_2028_2030,expansion,-1.9641590742584754,-2.5160030132535307,-4.851886402314289,-2.2814204544581766
3,debt,retained_single_feature,1.4840846385516095,0.7465489092021144,three_1pp_cut_2028_2030,cut,0.0820358242542909,1.614163242936023,3.9308538847277665,2.0936775263143312
3,debt,retained_single_feature,1.4840846385516095,0.7465489092021144,three_1pp_expansion_2028_2030,expansion,0.09334365007748602,-1.614163242936023,-3.9308538847277665,-2.0936775263143312
4,trade,retained_single_feature,2.112580895610513,0.8016863557493459,three_1pp_cut_2028_2030,cut,5.876708559229854,7.111208875288982,4.46474762336129,2.072683079816911
4,trade,retained_single_feature,2.112580895610513,0.8016863557493459,three_1pp_expansion_2028_2030,expansion,-5.833319268468358,-7.111208875288982,-4.46474762336129,-2.072683079816911
4,liq,retained_single_feature,2.7268657313401166,0.8135789420997724,three_1pp_cut_2028_2030,cut,10.323548512309642,8.98782190294202,6.540150330096946,2.1724909415551648
4,liq,retained_single_feature,2.7268657313401166,0.8135789420997724,three_1pp_expansion_2028_2030,expansion,-9.68152024563399,-8.98782190294202,-6.540150330096946,-2.1724909415551648
4,debt,retained_single_feature,2.2998974554032228,0.7911646297222553,three_1pp_cut_2028_2030,cut,8.000853189542141,7.768326191996674,5.6971431196913835,2.097110581923401
